HOME_TEAM_WINS,FGP_H,FG3P_H,FTP_H,DREB_H,AST_H,STL_H,BLK_H,RANKING_H
NO,0.45,0.3,0.68,31,25,5,1,0.143
NO,0.52,0.26,0.86,33,20,6,4,0.182
YES,0.41,0.47,0.81,40,20,10,7,0.389
NO,0.44,0.33,0.53,34,23,6,2,0.333
YES,0.52,0.44,0.82,38,32,10,3,0.7
NO,0.44,0.21,0.63,23,25,6,2,0.421
YES,0.51,0.27,0.72,36,21,4,10,0.762
NO,0.36,0.18,0.69,31,22,12,4,0.2
YES,0.46,0.29,0.8,35,27,7,5,0.75
YES,0.47,0.38,0.78,35,18,8,2,0.524
YES,0.48,0.5,0.86,29,20,10,1,0.81
NO,0.48,0.49,0.67,27,24,7,5,0.522
YES,0.5,0.19,0.82,39,23,10,6,0.381
YES,0.5,0.27,0.77,31,22,7,8,0.5
NO,0.35,0.23,0.81,30,23,7,2,0.136
YES,0.4,0.2,0.68,31,27,9,6,0.273
YES,0.5,0.29,0.73,35,18,5,7,0.273
YES,0.49,0.35,0.86,19,27,4,5,0.65
YES,0.47,0.36,0.72,42,21,6,11,0.619
YES,0.42,0.21,0.79,37,18,5,3,0.286
YES,0.49,0.35,0.85,37,21,9,5,0.905
NO,0.39,0.33,0.77,31,27,6,1,0.318
YES,0.45,0.35,0.67,33,21,7,4,0.455
YES,0.53,0.43,0.88,24,17,5,5,0.708
YES,0.51,0.53,0.83,27,22,10,4,0.727
YES,0.42,0.33,0.69,36,26,15,1,0.714
YES,0.4,0.08,0.76,36,22,13,3,0.238
NO,0.45,0.47,0.67,31,13,7,7,0.375
YES,0.44,0.27,0.91,35,22,9,11,0.409
NO,0.46,0.44,0.68,33,22,8,4,0.478
YES,0.46,0.46,0.76,40,21,7,9,0.818
YES,0.56,0.43,0.76,33,21,5,6,0.5
NO,0.47,0.32,0.79,27,16,11,5,0.5
YES,0.42,0.38,0.91,36,21,2,3,0.739
YES,0.49,0.56,0.81,28,28,10,6,0.727
NO,0.47,0.39,0.67,35,23,10,5,0.696
NO,0.44,0.29,0.86,32,16,4,6,0.261
NO,0.44,0.32,0.78,29,28,3,3,0.333
NO,0.46,0.14,0.66,22,21,11,9,0.227
YES,0.37,0.31,0.74,37,24,12,3,0.727
YES,0.44,0.25,0.65,34,25,16,5,0.429
YES,0.5,0.33,0.79,33,18,5,3,0.636
YES,0.5,0.48,0.76,29,26,6,6,0.385
NO,0.39,0.36,0.63,25,16,3,4,0.261
YES,0.44,0.29,0.59,39,20,8,7,0.783
NO,0.35,0.38,0.68,33,21,4,7,0.458
NO,0.4,0.2,0.7,36,14,11,0,0.68
YES,0.57,0.64,0.75,33,25,3,4,0.5
NO,0.49,0.39,0.71,35,22,11,4,0.087
NO,0.39,0.27,0.81,37,16,8,2,0.292
NO,0.35,0.18,0.83,27,12,13,5,0.458
NO,0.47,0.3,0.8,32,22,14,6,0.478
NO,0.42,0.3,0.75,32,25,6,3,0.217
YES,0.49,0.22,0.88,49,20,7,5,0.458
NO,0.41,0.5,0.71,30,20,10,4,0.417
NO,0.37,0.31,0.82,31,15,11,4,0.192
YES,0.49,0.31,0.58,31,20,11,9,0.739
NO,0.35,0.14,0.81,32,19,11,9,0.083
YES,0.46,0.38,0.71,35,28,10,5,0.609
YES,0.43,0.33,0.82,35,26,10,7,0.708
YES,0.54,0.5,0.75,29,35,9,3,0.708
YES,0.48,0.41,0.85,42,21,7,2,0.32
NO,0.4,0.32,0.81,26,17,12,5,0.462
YES,0.45,0.37,0.67,27,25,8,4,0.76
YES,0.46,0.39,0.86,35,18,8,2,0.76
NO,0.44,0.24,0.8,25,23,11,5,0.185
YES,0.46,0.36,0.84,38,24,9,4,0.833
NO,0.39,0.29,0.72,26,25,9,2,0.435
YES,0.5,0.59,0.72,36,29,7,8,0.75
NO,0.43,0.28,0.88,35,21,7,3,0.44
YES,0.59,0.5,0.94,23,24,9,9,0.5
NO,0.45,0.27,0.76,23,24,3,0,0.583
YES,0.51,0.5,0.68,31,24,6,4,0.769
NO,0.45,0.39,0.68,32,22,9,4,0.192
NO,0.4,0.43,0.78,35,30,8,1,0.4
YES,0.44,0.33,0.62,37,20,7,4,0.72
NO,0.41,0.49,0.48,41,31,6,11,0.654
YES,0.47,0.3,0.52,36,25,4,3,0.769
YES,0.55,0.37,0.78,35,25,9,8,0.391
NO,0.47,0.42,0.73,27,22,6,3,0.24
NO,0.39,0.24,0.72,23,10,10,0,0.462
NO,0.57,0.43,0.76,31,24,5,0,0.423
NO,0.38,0.24,0.78,31,19,8,4,0.76
YES,0.45,0.52,0.77,21,23,9,8,0.64
YES,0.51,0.39,0.6,29,32,9,7,0.88
YES,0.4,0.38,0.83,33,22,7,4,0.6
NO,0.45,0.46,0.88,33,23,6,12,0.08
NO,0.39,0.15,0.88,31,12,4,6,0.808
YES,0.48,0.38,0.73,31,30,6,1,0.423
YES,0.56,0.35,0.71,31,29,9,6,0.417
NO,0.48,0.4,0.73,38,28,3,5,0.308
NO,0.41,0.4,0.81,43,24,8,4,0.63
NO,0.44,0.32,0.67,35,28,5,7,0.185
NO,0.45,0.55,0.67,25,28,6,2,0.345
