"DATE","VISITOR_TEAM_ID","HOME_TEAM_ID","SEASON","HOME_TEAM_WINS","FGM_H","FGA_H","FGP_H","FG3M_H","FG3A_H","FG3P_H","FTM_H","FTA_H","FTP_H","OREB_H","DREB_H","REB_H","AST_H","STL_H","BLK_H","TO_H","PF_H","PTS_H","FGM_A","FGA_A","FGP_A","FG3M_A","FG3A_A","FG3P_A","FTM_A","FTA_A","FTP_A","OREB_A","DREB_A","REB_A","AST_A","STL_A","BLK_A","TO_A","PF_A","PTS_A","WIN_H","LOSE_H","RANKING_H","HOME_RECORD_H","ROAD_RECORD_H","WIN_A","LOSE_A","RANKING_A","HOME_RECORD_A","ROAD_RECORD_A"
"2016-11-04","CHA","BKN",2016,"NO",35,87,0.4,9,36,0.25,16,21,0.76,7,39,46,20,12,4,15,22,95,36,86,0.42,10,30,0.33,17,24,0.71,7,42,49,24,7,3,16,18,99,2,4,0.333,"2-2","0-2",4,1,0.8,"1-1","3-0"
"2016-11-04","GSW","LAL",2016,"YES",45,95,0.47,8,30,0.27,19,21,0.9,16,35,51,26,9,5,16,19,117,39,86,0.45,5,32,0.16,14,20,0.7,9,31,40,26,13,3,20,13,97,3,3,0.5,"2-0","1-3",4,2,0.667,"1-1","3-1"
"2016-11-04","LAC","MEM",2016,"NO",31,84,0.37,9,26,0.35,17,22,0.77,13,35,48,26,4,9,18,28,88,32,85,0.38,8,27,0.3,27,33,0.82,11,36,47,19,17,6,11,23,99,3,3,0.5,"3-1","0-2",4,1,0.8,"2-1","2-0"
"2016-11-04","MIA","TOR",2016,"YES",37,84,0.44,6,25,0.24,16,18,0.89,13,37,50,14,7,5,15,16,96,34,88,0.39,9,28,0.32,10,15,0.67,12,31,43,19,10,5,13,22,87,4,1,0.8,"3-1","1-0",2,3,0.4,"1-2","1-1"
"2016-11-04","NYK","CHI",2016,"NO",37,84,0.44,8,23,0.35,22,27,0.81,15,27,42,15,4,4,12,16,104,46,89,0.52,9,21,0.43,16,21,0.76,11,29,40,32,7,2,5,23,117,3,2,0.6,"2-1","1-1",2,3,0.4,"1-1","1-2"
"2016-11-04","PHX","NOP",2016,"NO",43,94,0.46,10,30,0.33,15,28,0.54,6,37,43,28,7,13,8,21,111,40,93,0.43,8,24,0.33,24,28,0.86,12,47,59,18,7,2,15,27,112,0,6,0,"0-4","0-2",2,4,0.333,"1-2","1-2"
"2016-11-04","POR","DAL",2016,"NO",34,83,0.41,10,28,0.36,17,20,0.85,7,37,44,18,5,3,12,21,95,36,80,0.45,12,31,0.39,21,26,0.81,7,35,42,21,9,3,14,20,105,0,5,0,"0-2","0-3",3,3,0.5,"1-2","2-1"
"2016-11-04","SAS","UTA",2016,"NO",30,80,0.38,11,26,0.42,15,24,0.62,9,33,42,15,7,4,12,19,86,37,83,0.45,6,20,0.3,20,22,0.91,9,40,49,17,9,8,11,25,100,3,3,0.5,"2-1","1-2",5,1,0.833,"1-1","4-0"
"2016-11-05","CHI","IND",2016,"YES",46,86,0.53,12,26,0.46,7,12,0.58,8,28,36,27,8,9,11,20,111,34,79,0.43,6,18,0.33,20,25,0.8,13,27,40,17,8,5,16,13,94,3,3,0.5,"3-0","0-3",3,3,0.5,"2-1","1-2"
"2016-11-05","CLE","PHI",2016,"NO",40,87,0.46,14,38,0.37,7,12,0.58,5,40,45,21,9,9,17,23,101,37,91,0.41,14,38,0.37,14,18,0.78,11,38,49,23,10,5,16,15,102,0,5,0,"0-4","0-1",6,0,1,"4-0","2-0"
"2016-11-05","DEN","DET",2016,"YES",40,84,0.48,7,20,0.35,16,22,0.73,9,38,47,22,9,9,13,16,103,31,94,0.33,7,25,0.28,17,20,0.85,16,32,48,15,8,2,16,15,86,4,2,0.667,"4-0","0-2",2,3,0.4,"0-1","2-2"
